k,run_id,random_seed,dataset,inertia,silhouette,calinski_harabasz,inertia/samples,calinski_harabasz/samples,silhouette/samples
5,9,10,train,41631.85344161892,0.2619339665437096,3029.647834939402,5.160120654637943,0.375514109437209,3.2465786631595144e-05
5,9,10,eval,13499.29937953104,0.26087740713974417,1017.1202197353543,5.138675058824149,0.38717937561300125,9.930620751417745e-05
5,10,11,train,41536.47217172137,0.26758159601087544,3041.2345557915983,5.148298484348211,0.37695024241343555,3.316579028394589e-05
5,10,11,eval,13423.60991995402,0.26759034488264083,1026.5651209367015,5.109862931082612,0.3907746939233733,0.00010186157018752982
5,11,12,train,41536.07696951859,0.26788866724997557,3041.2818273679054,5.148249500436116,0.37695610155774734,3.320385067550515e-05
5,11,12,eval,13422.324474815272,0.267829606167738,1026.7402576107697,5.109373610512095,0.3908413618617319,0.00010195264795117548
5,12,13,train,41536.075882134624,0.2678538773749206,3041.2830410066435,5.148249365658729,0.3769562519839667,3.319953859381763e-05
5,12,13,eval,13422.277417868703,0.267829606167738,1026.7402576107702,5.109355697704112,0.3908413618617321,0.00010195264795117548
5,13,14,train,41536.09046284516,0.26788866724997557,3041.2818273679063,5.148251172886114,0.37695610155774745,3.320385067550515e-05
5,13,14,eval,13422.357280766599,0.267829606167738,1026.7402576107702,5.109386098502703,0.3908413618617321,0.00010195264795117548
5,14,15,train,41536.0917977446,0.2678628328956738,3041.2824550348255,5.148251338342167,0.37695617935483705,3.320064859886884e-05
5,14,15,eval,13422.265380630666,0.267829606167738,1026.74025761077,5.109351115580764,0.390841361861732,0.00010195264795117548
5,15,16,train,41631.85344161892,0.2619339665437096,3029.6478349394015,5.160120654637943,0.3755141094372089,3.2465786631595144e-05
5,15,16,eval,13499.29937953104,0.26087740713974417,1017.1202197353543,5.138675058824149,0.38717937561300125,9.930620751417745e-05
5,16,17,train,41536.58329461997,0.2675535969782897,3041.2278037441033,5.148312257637578,0.3769494055210837,3.316231990310978e-05
5,16,17,eval,13423.98951957914,0.26752296513846985,1026.5373982803978,5.110007430368915,0.39076414095180734,0.00010183592125560329
5,17,18,train,41536.09695511166,0.26788866724997557,3041.281827367906,5.148251977579531,0.3769561015577474,3.320385067550515e-05
5,17,18,eval,13422.360181256081,0.267829606167738,1026.7402576107697,5.109387202609852,0.3908413618617319,0.00010195264795117548
5,18,19,train,42100.82405120702,0.24763083715440018,2973.4492744959066,5.218247899257191,0.3685484970867509,3.069296444650473e-05
5,18,19,eval,13591.75073923863,0.24910179002962493,1004.9874273655066,5.1738678109016485,0.38256087832718183,9.482367340297865e-05
5,19,20,train,41536.07696951858,0.26788866724997557,3041.281827367906,5.1482495004361155,0.3769561015577474,3.320385067550515e-05
5,19,20,eval,13422.324474815272,0.267829606167738,1026.7402576107697,5.109373610512095,0.3908413618617319,0.00010195264795117548
5,20,21,train,41536.07696951859,0.26788866724997557,3041.2818273679054,5.148249500436116,0.37695610155774734,3.320385067550515e-05
